Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,Utility,Team
1989 NL,Darling · NYM,Santiago · SDP,Galarraga · MON,Sandberg · CHC,Pendleton · STL,Smith · STL,Van Slyke · PIT,Davis · CIN,Gwynn · SDP,,
1988 NL,Hershiser · LAD,Santiago · SDP,Hernandez · NYM,Sandberg · CHC,Wallach · MON,Smith · STL,Van Slyke · PIT,Dawson · CHC,Davis · CIN,,
1987 NL,Reuschel · 2tm,LaValliere · PIT,Hernandez · NYM,Sandberg · CHC,Pendleton · STL,Smith · STL,Davis · CIN,Gwynn · SDP,Dawson · CHC,,
1986 NL,Valenzuela · LAD,Davis · CHC,Hernandez · NYM,Sandberg · CHC,Schmidt · PHI,Smith · STL,Gwynn · SDP,McGee · STL,Murphy · ATL,,
1985 NL,Reuschel · PIT,Peña · PIT,Hernandez · NYM,Sandberg · CHC,Wallach · MON,Smith · STL,Dawson · MON,McGee · STL,Murphy · ATL,,
1984 NL,Andújar · STL,Peña · PIT,Hernandez · NYM,Sandberg · CHC,Schmidt · PHI,Smith · STL,Dernier · CHC,Dawson · MON,Murphy · ATL,,
1983 NL,Niekro · ATL,Peña · PIT,Hernandez · 2tm,Sandberg · CHC,Schmidt · PHI,Smith · STL,Murphy · ATL,McGee · STL,Dawson · MON,,
1982 NL,Niekro · ATL,Carter · MON,Hernandez · STL,Trillo · PHI,Schmidt · PHI,Smith · STL,Maddox · PHI,Murphy · ATL,Dawson · MON,,
1981 NL,Carlton · PHI,Carter · MON,Hernandez · STL,Trillo · PHI,Schmidt · PHI,Smith · SDP,Baker · LAD,Maddox · PHI,Dawson · MON,,
1980 NL,Niekro · ATL,Carter · MON,Hernandez · STL,Flynn · NYM,Schmidt · PHI,Smith · SDP,Winfield · SDP,Maddox · PHI,Dawson · MON,,
1979 NL,Niekro · ATL,Boone · PHI,Hernandez · STL,Trillo · PHI,Schmidt · PHI,Concepción · CIN,Parker · PIT,Winfield · SDP,Maddox · PHI,,
1978 NL,Niekro · ATL,Boone · PHI,Hernandez · STL,Lopes · LAD,Schmidt · PHI,Bowa · PHI,Maddox · PHI,Valentine · MON,Parker · PIT,,
1977 NL,Kaat · PHI,Bench · CIN,Garvey · LAD,Morgan · CIN,Schmidt · PHI,Concepción · CIN,Maddox · PHI,Parker · PIT,Gerónimo · CIN,,
1976 NL,Kaat · PHI,Bench · CIN,Garvey · LAD,Morgan · CIN,Schmidt · PHI,Concepción · CIN,Gerónimo · CIN,Cedeño · HOU,Maddox · PHI,,
1975 NL,Messersmith · LAD,Bench · CIN,Garvey · LAD,Morgan · CIN,Reitz · STL,Concepción · CIN,Maddox · 2tm,Cedeño · HOU,Gerónimo · CIN,,
1974 NL,Messersmith · LAD,Bench · CIN,Garvey · LAD,Morgan · CIN,Rader · HOU,Concepción · CIN,Gerónimo · CIN,Bonds · SFG,Cedeño · HOU,,
1973 NL,Gibson · STL,Bench · CIN,Jorgensen · MON,Morgan · CIN,Rader · HOU,Metzger · HOU,Davis · LAD,Bonds · SFG,Cedeño · HOU,,
1972 NL,Gibson · STL,Bench · CIN,Parker · LAD,Millán · ATL,Rader · HOU,Bowa · PHI,Davis · LAD,Cedeño · HOU,Clemente · PIT,,
1971 NL,Gibson · STL,Bench · CIN,Parker · LAD,Helms · CIN,Rader · HOU,Harrelson · NYM,Clemente · PIT,Bonds · SFG,Davis · LAD,,
1970 NL,Gibson · STL,Bench · CIN,Parker · LAD,Helms · CIN,Rader · HOU,Kessinger · CHC,Agee · NYM,Rose · CIN,Clemente · PIT,,
1969 NL,Gibson · STL,Bench · CIN,Parker · LAD,Millán · ATL,Boyer · ATL,Kessinger · CHC,Flood · STL,Rose · CIN,Clemente · PIT,,
1968 NL,Gibson · STL,Bench · CIN,Parker · LAD,Beckert · CHC,Santo · CHC,Maxvill · STL,Clemente · PIT,Mays · SFG,Flood · STL,,
1967 NL,Gibson · STL,Hundley · CHC,Parker · LAD,Mazeroski · PIT,Santo · CHC,Alley · PIT,Clemente · PIT,Flood · STL,Mays · SFG,,
1966 NL,Gibson · STL,Roseboro · LAD,White · PHI,Mazeroski · PIT,Santo · CHC,Alley · PIT,Mays · SFG,Flood · STL,Clemente · PIT,,
1965 NL,Gibson · STL,Torre · MLN,White · STL,Mazeroski · PIT,Santo · CHC,Cárdenas · CIN,Flood · STL,Mays · SFG,Clemente · PIT,,
1964 NL,Shantz · 3tm,Edwards · CIN,White · STL,Mazeroski · PIT,Santo · CHC,Amaro · PHI,Flood · STL,Mays · SFG,Clemente · PIT,,
1963 NL,Shantz · STL,Edwards · CIN,White · STL,Mazeroski · PIT,Boyer · STL,Wine · PHI,Clemente · PIT,Mays · SFG,Flood · STL,,
1962 NL,Shantz · 2tm,Crandall · MLN,White · STL,Hubbs · CHC,Davenport · SFG,Wills · LAD,Virdon · PIT,Clemente · PIT,Mays · SFG,,
1961 NL,Shantz · PIT,Roseboro · LAD,White · STL,Mazeroski · PIT,Boyer · STL,Wills · LAD,Mays · SFG,Pinson · CIN,Clemente · PIT,,
1960 NL,Haddix · PIT,Crandall · MLN,White · STL,Mazeroski · PIT,Boyer · STL,Banks · CHC,Mays · SFG,Moon · LAD,Aaron · MLN,,
1959 NL,Haddix · PIT,Crandall · MLN,Hodges · LAD,Neal · LAD,Boyer · STL,McMillan · CIN,Aaron · MLN,Mays · SFG,Brandt · SFG,,
1958 NL,Haddix · CIN,Crandall · MLN,Hodges · LAD,Mazeroski · PIT,Boyer · STL,McMillan · CIN,Mays · SFG,Aaron · MLN,Robinson · CIN,,
1957 ML,Shantz · NYY,Lollar · CHW,Hodges · BRO,Fox · CHW,Malzone · BOS,McMillan · CIN,Mays · NYG,Miñoso · CHW,Kaline · DET,,
