Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team
54,Alan Trammell,70.6,1977,1996,19-38,2293,9376,8288,1231,2365,1713,412,55,185,1003,236,109,850,874,0.285,0.352,0.415,0.767,110,3442,156,37,124,76,48,70.6,40.4,63,22.7,132,14,25,40,77,*6HD5/78,DET
55,Johnny Mize,70.5,1936,1953,23-40,1884,7372,6443,1118,2011,1202,367,83,359,1337,28,12,856,524,0.312,0.397,0.562,0.959,158,3621,99,52,20,,150,70.5,44,68.9,-6.5,489,-1,10,9,18,*3H/9,"NYG,NYY,STL"
56,Barry Larkin,70.5,1986,2004,22-40,2180,9057,7937,1329,2340,1625,441,76,198,960,379,77,939,817,0.295,0.371,0.444,0.815,116,3527,178,55,59,67,66,70.5,42.5,68.3,14.4,200,4,81,85,18,*6H/4D,CIN
57,Ron Santo,70.5,1960,1974,20-34,2243,9397,8143,1138,2254,1480,365,67,342,1331,35,41,1108,1343,0.277,0.362,0.464,0.826,125,3779,256,38,13,94,94,70.5,36.8,66.6,8.7,286,-28,-6,-33,20,*5D4H6/73,"CHC,CHW"
58,Bobby Wallace,70.4,1894,1918,20-44,2383,9631,8618,1057,2309,1741,391,143,34,1121,201,10,774,560,0.268,0.332,0.358,0.69,105,3088,,47,173,,,70.4,34.9,56.8,28.7,70,0,-13,-13,133,651O4/H39,"CLV,SLB,STL"
59,Gary Carter,70.1,1974,1992,20-38,2296,9019,7971,1025,2092,1366,371,31,324,1225,39,42,848,997,0.262,0.335,0.439,0.773,115,3497,180,68,33,99,106,70.1,40.1,56.4,26.1,159,-7,-16,-23,112,*29H3/75,"LAD,MON,NYM,SFG"
60,Scott Rolen,70.1,1996,2012,21-37,2038,8518,7398,1211,2077,1201,517,43,316,1287,118,49,899,1410,0.281,0.364,0.49,0.855,122,3628,150,127,1,93,57,70.1,44,52.8,21.2,234,-4,12,8,175,*5H,"CIN,PHI,STL,TOR"
61,Ed Delahanty,69.6,1888,1903,20-35,1837,8402,7510,1600,2597,1788,522,186,101,1466,456,,742,439,0.346,0.411,0.505,0.917,152,3794,,94,54,,,69.6,41.9,69.1,-5.4,571,0,-3,-3,20,O374695/8H,"CLE,PHI,WSH"
62,Tim Raines,69.4,1979,2002,19-42,2502,10359,8872,1571,2605,1892,430,113,170,980,808,146,1330,966,0.294,0.385,0.425,0.81,123,3771,142,42,39,76,148,69.4,35.4,69.2,-8.6,291,8,115,123,-7,*78HD4/9,"BAL,CHW,FLA,MON,NYY,OAK"
63,Tony Gwynn,69.1,1982,2001,22-41,2440,10232,9288,1383,3141,2378,543,85,135,1138,319,125,790,434,0.338,0.388,0.459,0.847,132,4259,259,24,45,85,203,69.1,36.8,67.1,-7.6,403,6,23,30,6,*98H7D,SDP
64,Iván Rodríguez,68.7,1991,2011,19-39,2543,10270,9592,1354,2844,1910,572,51,311,1332,127,64,513,1474,0.296,0.334,0.464,0.798,106,4451,337,58,31,76,67,68.7,33.3,54.5,29.6,74,-22,-3,-25,147,*2HD/34,"DET,FLA,HOU,NYY,TEX,WSN"
65,Eddie Murray,68.7,1977,1997,21-41,3026,12817,11336,1627,3255,2156,560,35,504,1917,110,43,1333,1516,0.287,0.359,0.476,0.836,129,5397,315,18,2,128,222,68.7,27.4,62.2,-11.6,392,-11,-9,-20,61,*3DH/57,"ANA,BAL,CLE,LAD,NYM"
66,Al Simmons,68.5,1924,1944,22-42,2215,9520,8759,1507,2927,1932,539,149,307,1828,88,68,615,737,0.334,0.38,0.535,0.915,133,4685,23,30,111,,79,68.5,33.6,62.4,-1.2,383,-12,16,4,67,*78H/93,"BOS,BSN,CHW,CIN,DET,PHA,WSH"
67,Carlton Fisk,68.4,1969,1993,21-45,2499,9853,8756,1276,2356,1512,421,47,376,1330,128,58,849,1386,0.269,0.341,0.457,0.797,117,3999,204,143,26,79,105,68.4,35.3,66.3,17,168,-13,11,-2,27,2DH73/5,"BOS,CHW"
68,Edgar Martínez,68.4,1987,2004,24-41,2055,8674,7213,1219,2247,1409,514,15,309,1261,49,30,1283,1202,0.312,0.418,0.515,0.933,147,3718,190,89,10,77,113,68.4,38.5,66.9,-9,532,-18,-19,-37,17,D5H3,SEA
69,Pee Wee Reese,68.4,1940,1958,21-39,2166,9472,8058,1338,2170,1634,330,80,126,885,232,99,1210,890,0.269,0.366,0.377,0.743,99,3038,176,26,157,19,69,68.4,33.6,57.7,25.6,30,8,57,65,117,*65H,"BRO,LAD"
70,Fred Clarke,68,1894,1915,21-42,2246,9864,8584,1622,2678,2030,361,220,67,1015,509,0,875,511,0.312,0.386,0.429,0.814,133,3680,,154,225,,,68,35.3,58.9,-2.8,385,0,-1,-1,91,*7OH/6958,"LOU,PIT"
71,Ryne Sandberg,67.9,1981,1997,21-37,2164,9282,8385,1318,2386,1625,403,76,282,1061,344,107,761,1260,0.285,0.344,0.452,0.795,114,3787,139,34,31,71,59,67.9,38.4,60.4,13.5,191,11,33,45,60,*45H/6D,"CHC,PHI"
72,Ernie Banks,67.7,1953,1971,22-40,2528,10396,9421,1305,2583,1574,407,90,512,1636,50,53,763,1236,0.274,0.33,0.5,0.83,122,4706,229,70,45,96,202,67.7,28.7,62.4,5.1,257,-16,-6,-23,55,36H57,CHC
73,Roberto Alomar,67,1988,2004,20-36,2379,10400,9073,1508,2724,1930,504,80,210,1134,474,114,1032,1140,0.3,0.371,0.443,0.814,116,4018,206,50,148,97,62,67,32.5,70.8,3.3,242,5,53,59,-38,*4HD/6,"ARI,BAL,CHW,CLE,NYM,SDP,TOR"
74,Goose Goslin,65.9,1921,1938,20-37,2287,9831,8656,1482,2735,1814,500,173,248,1612,176,94,949,585,0.316,0.387,0.5,0.887,128,4325,,55,162,,67,65.9,29.3,61.4,-4.7,355,4,9,13,50,*79H8/35,"DET,SLB,WSH"
75,Duke Snider,65.9,1947,1964,20-37,2143,8237,7161,1259,2116,1266,358,85,407,1333,99,73,971,1237,0.295,0.38,0.54,0.919,140,3865,166,21,52,32,154,65.9,34.8,70.2,-5.9,386,13,13,27,-22,*89H7,"BRO,LAD,NYM,SFG"
76,Craig Biggio,65.4,1988,2007,22-41,2850,12504,10876,1844,3060,2046,668,55,291,1175,414,124,1160,1753,0.281,0.363,0.433,0.796,112,4711,150,285,101,81,68,65.4,29,76.2,-2.9,257,22,54,76,-100,4287HD/9,HOU
77,Andre Dawson,64.8,1976,1996,21-41,2627,10769,9927,1373,2774,1735,503,98,438,1591,314,109,589,1509,0.279,0.323,0.482,0.806,119,4787,217,111,24,118,143,64.8,29.2,55.5,1.6,234,6,14,20,70,*98DH7,"BOS,CHC,FLA,MON"
78,Joe Cronin,64.8,1926,1945,19-38,2124,8840,7579,1233,2285,1482,515,118,170,1424,87,71,1059,700,0.301,0.39,0.468,0.857,119,3546,57,34,166,,41,64.8,33.7,62.3,14.3,244,-18,-5,-24,28,6H534/7,"BOS,PIT,WSH"
79,Willie McCovey,64.5,1959,1980,21-42,2588,9692,8197,1229,2211,1291,353,46,521,1555,26,22,1345,1550,0.27,0.374,0.515,0.889,147,4219,176,69,5,70,260,64.5,30.4,72.1,-21.6,486,4,-14,-10,-80,37H9/D,"OAK,SDP,SFG"
80,Richie Ashburn,64.3,1948,1962,21-35,2189,9737,8365,1322,2574,2119,317,109,29,586,234,117,1198,571,0.308,0.396,0.382,0.778,111,3196,83,43,112,18,40,64.3,29,58.3,5.4,205,31,7,38,77,*8H79/4,"CHC,NYM,PHI"
81,Dave Winfield,64.2,1973,1995,21-43,2973,12358,11003,1669,3110,2017,540,88,465,1833,223,96,1216,1686,0.283,0.353,0.475,0.827,130,5221,319,25,19,95,172,64.2,24,74.1,-22.7,416,-15,37,22,-91,*978HD/35,"CAL,CLE,MIN,NYY,SDP,TOR"
82,Jackie Robinson,63.9,1945,1956,26-37,1416,5941,4997,972,1563,1081,286,55,141,761,200,76,756,291,0.313,0.41,0.477,0.887,133,2382,113,72,105,9,61,63.9,41.3,56.5,10.3,276,9,32,42,82,4537H6/9,"BRO,KCM"
83,Billy Williams,63.6,1959,1976,21-38,2488,10519,9350,1410,2711,1763,434,88,426,1475,90,49,1045,1046,0.29,0.361,0.492,0.853,133,4599,200,43,8,73,182,63.6,27,66.5,-18,367,16,20,36,-38,*79D3H8,"CHC,OAK"
84,Billy Hamilton,63.2,1888,1901,22-35,1594,7609,6283,1697,2164,1787,242,95,40,742,914,,1189,362,0.344,0.455,0.432,0.888,141,2716,,89,47,,,63.2,39.3,61.6,-5.2,498,0,53,53,30,*O8/H,"BSN,KCC,PHI"
85,Lou Boudreau,63.1,1938,1952,20-34,1646,7025,6029,861,1779,1260,385,66,68,789,51,50,796,309,0.295,0.38,0.415,0.795,120,2500,155,34,164,,40,63.1,42,50.5,23.3,196,-9,-5,-14,118,65H3/24,"BOS,CLE"
86,Jesse Burkett,62.8,1890,1905,21-36,2067,9629,8426,1720,2850,2273,320,182,75,952,389,,1029,613,0.338,0.415,0.446,0.861,140,3759,,75,90,,,62.8,30.6,64.4,-12.3,519,0,-28,-28,-4,*O71/456,"BOS,CLV,NYG,SLB,STL"
87,Home Run Baker,62.8,1908,1922,22-36,1575,6677,5984,887,1838,1324,315,103,96,991,235,54,473,344,0.307,0.363,0.442,0.805,135,2647,,50,153,,,62.8,36.9,59.4,9.6,255,0,-5,-5,35,*5H,"NYY,PHA"
88,Todd Helton,61.8,1997,2013,23-39,2247,9453,7962,1401,2519,1521,592,37,369,1406,37,29,1335,1175,0.316,0.414,0.539,0.953,133,4292,186,57,3,93,185,61.8,33.3,54.5,-5,424,-11,-13,-24,76,*3H7/9D,COL
89,Jake Beckley,61.5,1888,1907,20-39,2392,10518,9551,1603,2938,2134,473,244,87,1581,315,,616,526,0.308,0.361,0.436,0.797,125,4160,,183,167,,,61.5,26.3,59.7,-0.4,331,0,-19,-19,39,*3/O14H,"CIN,NYG,PBB,PIT,STL"
90,Zack Wheat,60.4,1909,1927,21-39,2410,10007,9106,1289,2884,2104,476,172,132,1248,205,73,650,572,0.317,0.367,0.45,0.817,129,4100,,77,163,,15,60.4,28.1,55,-6.9,337,0,-5,-5,54,*7H/89,"BRO,PHA"
91,Harmon Killebrew,60.4,1954,1975,18-39,2435,9833,8147,1283,2086,1199,290,24,573,1584,19,18,1559,1699,0.256,0.376,0.509,0.884,143,4143,243,48,0,77,160,60.4,28.1,71.5,-18.7,486,-27,-25,-51,-78,357H4/9,"KCR,MIN,WSH"
92,Ichiro Suzuki,60,2001,2019,27-45,2653,10734,9934,1420,3089,2514,362,96,117,780,509,117,647,1080,0.311,0.355,0.402,0.757,107,3994,92,55,50,48,181,60,24.5,47.8,5.4,84,56,62,118,122,*98H7D/1,"MIA,NYY,SEA"
93,Yogi Berra,59.5,1946,1965,21-40,2120,8364,7555,1175,2150,1422,321,49,358,1430,30,26,704,414,0.285,0.348,0.482,0.83,125,3643,146,52,9,44,91,59.5,34,56.3,9.2,226,11,12,23,34,2H79/35,"NYM,NYY"
94,Mike Piazza,59.5,1992,2007,23-38,1912,7745,6911,1048,2127,1348,344,8,427,1335,17,20,759,1113,0.308,0.377,0.545,0.922,143,3768,229,30,0,45,146,59.5,35.8,66.4,1.5,418,-27,-29,-56,-63,2DH3,"FLA,LAD,NYM,OAK,SDP"
95,Vladimir Guerrero,59.5,1996,2011,21-36,2147,9059,8155,1328,2590,1618,477,46,449,1496,181,94,737,985,0.318,0.379,0.553,0.931,140,4506,277,103,0,64,250,59.5,29.5,59.1,-10,429,-17,-3,-20,7,9DH/87,"ANA,BAL,LAA,MON,TEX"
96,Dick Allen,58.7,1963,1977,21-35,1749,7315,6332,1099,1848,1098,320,79,351,1119,133,52,894,1556,0.292,0.378,0.534,0.912,156,3379,164,16,19,53,138,58.7,32.9,70.2,-16.3,435,-12,16,4,-110,357H/46D8,"CHW,LAD,OAK,PHI,STL"
97,Billy Herman,57.6,1931,1947,21-37,1922,8641,7707,1163,2345,1730,486,82,47,839,67,72,737,428,0.304,0.367,0.407,0.774,112,3136,191,26,171,,34,57.6,29,52.5,12.4,157,2,11,14,55,*453H,"BRO,BSN,CHC,PIT"
98,Willie Stargell,57.6,1962,1982,22-42,2360,9027,7927,1194,2232,1279,423,55,475,1540,17,16,937,1936,0.282,0.36,0.529,0.889,147,4190,143,78,9,75,227,57.6,26.7,64.2,-19.5,434,-2,-13,-15,-70,73H9/8,PIT
99,Enos Slaughter,57.5,1938,1959,22-43,2380,9087,7946,1247,2383,1653,413,148,169,1304,71,60,1018,538,0.3,0.382,0.453,0.834,124,3599,139,37,73,10,108,57.5,24.3,56.4,-8.2,276,31,10,41,20,*97H8,"KCA,MLN,NYY,STL"
