,NL,Paul Waner
,NNL,Roy Parnell
1926,AL,Heinie Manush
,ECL,Martín Dihigo
,NL,Bubbles Hargrave
,NNL,Mule Suttles
1925,AL,Harry Heilmann
,ECL,Oscar Charleston
Year,League,Batting Champ
,NL,Rogers Hornsby
,NNL,Edgar Wesley
1924,AL,Babe Ruth
,ECL,Oscar Charleston
,NL,Rogers Hornsby
,NNL,Valentín Dreke
1923,AL,Harry Heilmann
,ECL,Biz Mackey
,NL,Rogers Hornsby
,NNL,Heavy Johnson
1922,AL,George Sisler
,NL,Rogers Hornsby
,NNL,Heavy Johnson
1921,AL,Harry Heilmann
,NL,Rogers Hornsby
,NNL,Oscar Charleston
1920,AL,George Sisler
,NL,Rogers Hornsby
,NNL,Cristóbal Torriente
1919,AL,Ty Cobb
