Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Barry Larkin,22,40,472,18,2035,7430,1257,2216,1547,404,74,191,913.0,669,366.0,73.0,895,760.0,3341,165.0,52.0,53.0,60.0,57.0,70.80000000000001,3.9,2.1,0.298,0.419,0.45,0.869,9,3,9,0,1,0,6,5,8,4,1,hof
Ben Zobrist,25,38,518,13,1620,5783,876,1551,994,347,44,166,759.0,557,114.0,49.0,829,973.0,2484,123.0,30.0,24.0,65.0,35.0,45.9,3.5,3.5,0.268,0.41,0.43,0.84,2,0,0,0,0,1,4,11,1,1,0,retired
Bernie Williams,21,37,458,19,2037,7556,1336,2248,1478,436,55,279,1208.0,770,148.0,87.0,1037,1190.0,3631,211.0,38.0,12.0,58.0,98.0,50.30000000000001,2.6,1.5,0.298,0.434,0.481,0.915,4,4,1,0,0,0,8,13,1,5,0,retired
Bert Campaneris,22,41,507,19,2328,8684,1181,2249,1771,313,86,79,646.0,478,649.0,199.0,618,1142.0,2971,106.0,64.0,199.0,60.0,15.0,53.0,2.8,0.2,0.259,0.333,0.342,0.675,5,0,0,0,0,0,6,14,0,5,0,retired
Bill Doran,24,35,494,12,1453,5131,727,1366,1023,220,39,84,497.0,343,209.0,93.0,709,600.0,1916,79.0,10.0,34.0,38.0,52.0,32.900000000000006,2.7,1.7,0.266,0.403,0.373,0.776,0,0,0,0,0,0,4,12,0,0,0,retired
Bill Freehan,19,34,460,15,1774,6073,706,1591,1115,241,35,200,758.0,476,24.0,21.0,626,753.0,2502,138.0,114.0,38.0,48.0,67.0,44.800000000000004,3.0,6.4,0.262,0.374,0.412,0.786,8,5,0,0,0,0,2,7,0,8,0,retired
Bill Madlock,22,36,491,15,1806,6594,920,2008,1463,348,34,163,860.0,545,174.0,90.0,605,510.0,2913,190.0,68.0,36.0,69.0,121.0,38.3,2.6,4.5,0.305,0.398,0.442,0.84,3,0,0,0,0,0,5,12,0,3,0,retired
Bill Mazeroski,19,33,540,15,2059,7498,749,1955,1470,287,61,137,834.0,485,27.0,23.0,429,693.0,2775,189.0,20.0,82.0,65.0,108.0,37.4,2.5,4.5,0.261,0.317,0.37,0.687,1,8,0,0,0,0,4,7,0,8,0,hof
Bill Russell,20,37,446,18,2181,7318,796,1926,1530,293,57,46,627.0,396,167.0,69.0,483,667.0,2471,174.0,36.0,132.0,51.0,106.0,31.400000000000002,1.7,0.8,0.263,0.33,0.338,0.668,3,0,0,0,0,0,6,15,0,3,0,retired
Billy Williams,22,38,617,17,2470,9317,1410,2706,1759,434,87,426,1473.0,947,90.0,49.0,1044,1039.0,4592,198.0,43.0,8.0,73.0,182.0,63.8,3.8,3.9,0.29,0.402,0.493,0.895,5,0,0,0,0,0,7,12,0,5,0,hof
Bob Allison,26,35,464,10,1236,3926,648,999,580,167,41,211,642.0,419,60.0,31.0,641,842.0,1881,78.0,30.0,15.0,29.0,25.0,30.6,3.1,2.3,0.254,0.419,0.479,0.898,2,0,0,0,0,0,7,8,0,2,0,retired
Bob Gibson,24,34,96,10,390,842,91,187,141,29,2,15,99.0,46,11.0,7.0,47,273.0,265,9.0,6.0,54.0,10.0,0.0,6.400000000000001,0.6,2.7,0.222,0.28,0.315,0.595,4,6,0,0,1,1,1,4,1,4,1,hof
Bobby Abreu,22,40,560,18,2425,8480,1453,2470,1549,574,59,288,1363.0,921,400.0,128.0,1476,1840.0,4026,165.0,33.0,7.0,85.0,115.0,60.400000000000006,3.4,0.6,0.291,0.463,0.475,0.938,2,1,1,0,0,0,9,16,1,1,0,retired
Bobby Bonds,22,35,578,14,1849,7043,1258,1886,1186,302,66,332,1024.0,700,461.0,169.0,914,1757.0,3316,107.0,53.0,16.0,64.0,75.0,57.8,4.1,3.2,0.268,0.398,0.471,0.869,3,3,0,0,0,0,9,10,0,4,0,retired
Bobby Bonilla,23,38,560,14,1939,6855,1049,1930,1204,390,58,278,1127.0,726,45.0,56.0,856,1137.0,3270,162.0,26.0,5.0,94.0,125.0,32.8,2.3,0.0,0.282,0.403,0.477,0.88,6,0,3,0,0,0,5,8,3,3,0,retired
Bobby Grich,21,37,484,17,2008,6890,1033,1833,1242,320,47,224,864.0,591,104.0,83.0,1087,1278.0,2919,157.0,86.0,107.0,50.0,50.0,71.4,4.2,6.7,0.266,0.428,0.424,0.852,6,4,1,0,0,0,4,8,1,8,0,retired
Bobby Murcer,19,37,454,17,1908,6730,972,1862,1280,285,45,252,1043.0,582,127.0,75.0,862,841.0,2993,124.0,27.0,18.0,81.0,96.0,32.2,1.9,-0.1,0.277,0.402,0.445,0.847,5,1,0,0,0,0,9,12,0,5,0,retired
Boog Powell,19,35,419,19,2101,6822,916,1813,1183,276,12,342,1199.0,630,21.0,23.0,1017,1262.0,3139,167.0,29.0,28.0,74.0,140.0,39.900000000000006,2.1,0.6,0.266,0.413,0.46,0.873,3,0,0,0,1,0,3,16,0,2,1,retired
Brady Anderson,24,38,516,15,1834,6499,1062,1661,1046,338,67,210,761.0,615,315.0,100.0,960,1190.0,2763,65.0,154.0,74.0,50.0,59.0,34.900000000000006,2.3,1.4,0.256,0.414,0.425,0.839,3,0,0,0,0,0,8,12,0,3,0,retired
Brandon Belt,23,35,422,13,1413,4729,681,1232,712,290,36,194,627.0,520,47.0,21.0,678,1346.0,2176,64.0,48.0,1.0,27.0,36.0,30.099999999999998,2.3,5.0,0.261,0.408,0.46,0.868,1,0,0,0,0,0,3,12,0,1,0,retired
Brandon Crawford,24,37,461,13,1589,5363,643,1349,882,284,43,140,710.0,467,44.0,34.0,516,1213.0,2139,116.0,55.0,6.0,58.0,74.0,30.699999999999996,2.4,6.6,0.252,0.351,0.399,0.75,3,4,1,0,0,0,6,8,1,4,0,retired
Brett Butler,24,40,561,17,2213,8180,1359,2375,1913,277,131,54,578.0,462,558.0,257.0,1129,907.0,3076,62.0,38.0,147.0,51.0,23.0,49.7,2.9,1.0,0.29,0.428,0.376,0.804,1,0,0,0,0,0,8,16,0,1,0,retired
Brett Gardner,24,37,472,14,1688,5737,943,1470,1007,251,73,139,578.0,463,274.0,64.0,699,1245.0,2284,58.0,67.0,69.0,42.0,6.0,44.3,3.2,5.9,0.256,0.382,0.398,0.78,1,1,0,0,0,0,7,12,0,2,0,retired
Brian Downing,22,41,465,20,2344,7853,1188,2099,1436,360,28,275,1073.0,663,50.0,44.0,1197,1127.0,3340,197.0,129.0,60.0,70.0,55.0,51.7,2.6,7.3,0.267,0.425,0.425,0.85,1,0,0,0,0,0,2,19,0,1,0,retired
Brian Giles,21,37,419,20,2073,7011,1177,2016,1239,428,54,295,1105.0,777,135.0,58.0,1227,955.0,3437,165.0,52.0,9.0,74.0,114.0,54.39999999999999,2.7,9.6,0.288,0.462,0.49,0.952,2,0,0,0,0,0,9,18,0,2,0,retired
Brian Jordan,25,39,376,15,1456,5160,755,1454,966,267,37,184,821.0,488,119.0,48.0,353,842.0,2347,118.0,74.0,2.0,57.0,25.0,33.099999999999994,2.2,-1.2,0.282,0.356,0.455,0.811,1,0,0,0,0,0,9,14,0,1,0,retired
Brian McCann,21,35,457,15,1755,6067,742,1590,1009,294,5,282,1018.0,581,25.0,9.0,640,1054.0,2740,180.0,75.0,9.0,59.0,71.0,31.800000000000004,2.1,1.9,0.262,0.372,0.452,0.824,6,0,6,0,0,0,2,8,6,1,0,retired
Brian Roberts,23,36,475,13,1401,5465,848,1515,1012,367,39,97,537.0,503,284.0,72.0,604,832.0,2251,82.0,13.0,47.0,47.0,26.0,30.6,2.4,1.4,0.277,0.386,0.412,0.798,2,0,0,0,0,0,4,11,0,2,0,retired
Brooks Robinson,19,38,577,19,2650,9904,1182,2683,1903,456,63,261,1309.0,780,27.0,20.0,817,901.0,4048,271.0,47.0,91.0,110.0,119.0,80.0,4.2,10.3,0.271,0.353,0.409,0.762,12,10,0,0,1,1,5,3,1,14,1,hof
Buddy Bell,20,37,556,18,2405,8995,1151,2514,1832,425,56,201,1106.0,682,55.0,79.0,836,776.0,3654,255.0,38.0,60.0,80.0,84.0,66.4,3.7,1.4,0.279,0.372,0.406,0.778,5,6,1,0,0,0,5,11,1,6,0,retired
Buster Posey,22,34,467,12,1371,4970,663,1500,1040,293,9,158,729.0,460,23.0,9.0,540,721.0,2285,163.0,43.0,1.0,53.0,67.0,45.2,3.8,7.4,0.302,0.411,0.46,0.871,5,1,5,0,1,0,2,5,4,2,1,retired
Cal Ripken Jr.,21,39,649,19,2850,11035,1603,3065,2017,587,44,417,1627.0,1048,36.0,37.0,1102,1234.0,4991,331.0,64.0,8.0,118.0,106.0,97.2,5.1,6.0,0.278,0.377,0.452,0.829,0,2,8,0,2,0,6,10,6,1,2,hof
Carl Crawford,20,33,506,14,1686,6574,990,1916,1351,307,122,136,760.0,565,480.0,108.0,373,1056.0,2875,76.0,46.0,34.0,47.0,24.0,40.3,2.9,3.8,0.291,0.35,0.437,0.787,4,1,1,0,0,0,7,10,1,3,0,retired
